seed,global_steps_per_temperature,MCS_per_global_steps,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
110046,5,15,9,logT,10,-1.65216,1,80.6425801039,80.6425801039
228274,5,15,11,logT,10,-1.64456,1,95.8555305004,95.8555305004
369954,5,15,12,logT,10,-1.7295,1,103.602399874,103.602399874
418527,5,15,15,logT,10,-1.68276,1,126.213620567,126.213620567
492757,5,15,17,logT,10,-1.66257,0.9,142.251483583,284.502967167
554682,5,15,13,logT,10,-1.70255,0.9,111.215482593,222.430965185
624355,5,15,14,logT,10,-1.72807,1,118.562962508,118.562962508
631654,5,15,22,logT,10,-1.69768,1,179.974483514,179.974483514
654105,5,15,13,logT,10,-1.66439,0.9,110.972529149,221.945058298
658180,5,15,12,logT,10,-1.72803,1,103.527679539,103.527679539
983552,5,15,10,logT,10,-1.73856,1,88.1529388428,88.1529388428
984673,5,15,15,logT,10,-1.70021,0.9,126.65703125,253.3140625
1010826,5,15,18,logT,10,-1.70137,0.9,149.096176672,298.192353344
1051560,5,15,14,logT,10,-1.63919,0.9,118.558170176,237.116340351
1086364,5,15,11,logT,10,-1.70278,1,95.8666459084,95.8666459084
1153328,5,15,14,logT,10,-1.68096,0.9,118.479115319,236.958230639
1251908,5,15,10,logT,10,-1.73153,1,88.357744956,88.357744956
1430748,5,15,40,logT,10,-1.69098,0.9,315.456870365,630.91374073
1494266,5,15,23,logT,10,-1.71234,1,186.775630116,186.775630116
1526610,5,15,12,logT,10,-1.69344,0.9,103.445350409,206.890700817
1575578,5,15,12,logT,10,-1.68794,1,103.499683642,103.499683642
1631660,5,15,11,logT,10,-1.68455,1,95.9680405378,95.9680405378
1730477,5,15,15,logT,10,-1.64773,1,126.11263175,126.11263175
1769991,5,15,11,logT,10,-1.72066,0.9,97.7227451563,195.445490313
1791529,5,15,12,logT,10,-1.70447,1,103.467758298,103.467758298
1914710,5,15,13,logT,10,-1.67759,0.9,111.099852991,222.199705982
1958910,5,15,14,logT,10,-1.72736,0.9,119.294877148,238.589754295
2094269,5,15,13,logT,10,-1.68269,1,110.943058276,110.943058276
2103206,5,15,13,logT,10,-1.73526,1,111.092190313,111.092190313
2254005,5,15,11,logT,10,-1.68656,0.9,95.707769084,191.415538168
2261070,5,15,12,logT,10,-1.67718,1,103.439388871,103.439388871
2330819,5,15,11,logT,10,-1.71491,1,97.1610811234,97.1610811234
2471202,5,15,22,logT,10,-1.6528,0.9,179.249614763,358.499229527
2475263,5,15,12,logT,10,-1.69088,1,103.392773747,103.392773747
2494091,5,15,12,logT,10,-1.69335,1,103.236370564,103.236370564
2575023,5,15,10,logT,10,-1.70921,1,88.2283890963,88.2283890963
2622727,5,15,10,logT,10,-1.68713,1,88.0647608519,88.0647608519
2629801,5,15,13,logT,10,-1.6916,1,111.021275806,111.021275806
2633193,5,15,24,logT,10,-1.69039,1,195.251921701,195.251921701
2702397,5,15,13,logT,10,-1.72828,0.9,111.192970085,222.38594017
2892506,5,15,12,logT,10,-1.71593,0.9,103.374753737,206.749507475
3139424,5,15,14,logT,10,-1.67747,0.9,119.259910798,238.519821596
3212296,5,15,10,logT,10,-1.72928,1,88.2625925779,88.2625925779
3240710,5,15,14,logT,10,-1.69005,1,118.407927108,118.407927108
3259621,5,15,11,logT,10,-1.69826,1,95.7276046038,95.7276046038
3328448,5,15,13,logT,10,-1.69081,1,111.350689411,111.350689411
3396452,5,15,11,logT,10,-1.70352,1,95.7131231785,95.7131231785
3603850,5,15,12,logT,10,-1.68343,1,103.320227766,103.320227766
3633003,5,15,15,logT,10,-1.67308,0.9,126.214818764,252.429637527
3713812,5,15,12,logT,10,-1.73963,0.9,103.496417999,206.992835999
3727510,5,15,11,logT,10,-1.69772,0.9,96.9484110117,193.896822023
3730240,5,15,12,logT,10,-1.70893,1,103.334016895,103.334016895
3883519,5,15,13,logT,10,-1.68642,1,111.248506641,111.248506641
3996225,5,15,12,logT,10,-1.71324,1,103.577863979,103.577863979
4030608,5,15,16,logT,10,-1.70571,0.9,133.737759614,267.475519228
4043709,5,15,10,logT,10,-1.67275,1,88.262812376,88.262812376
4068529,5,15,14,logT,10,-1.66537,1,118.45513463,118.45513463
4087272,5,15,10,logT,10,-1.73407,0.9,88.2370894432,176.474178886
4187807,5,15,13,logT,10,-1.72066,1,111.077363658,111.077363658
4197361,5,15,17,logT,10,-1.68945,1,141.550223374,141.550223374
4490197,5,15,11,logT,10,-1.7264,1,96.9878142595,96.9878142595
4621654,5,15,13,logT,10,-1.69278,0.9,111.09788835,222.195776701
4911238,5,15,12,logT,10,-1.73575,0.9,103.300446057,206.600892115
4931967,5,15,11,logT,10,-1.71426,1,97.5965915442,97.5965915442
4955389,5,15,12,logT,10,-1.6801,1,103.217554784,103.217554784
4960753,5,15,11,logT,10,-1.67041,1,95.7891159296,95.7891159296
5049071,5,15,12,logT,10,-1.69004,1,103.453832626,103.453832626
5105258,5,15,17,logT,10,-1.74864,0.9,141.872019243,283.744038486
5314052,5,15,11,logT,10,-1.71041,0.9,95.9107928038,191.821585608
5406329,5,15,14,logT,10,-1.71337,1,118.495958114,118.495958114
5550256,5,15,11,logT,10,-1.7049,0.9,95.8756731272,191.751346254
5551067,5,15,11,logT,10,-1.67663,0.9,95.8588437319,191.717687464
5672028,5,15,10,logT,10,-1.68293,1,88.1759900331,88.1759900331
5719349,5,15,34,logT,10,-1.66567,1,270.80421474,270.80421474
5913160,5,15,13,logT,10,-1.67523,1,110.838849306,110.838849306
5918224,5,15,14,logT,10,-1.6477,1,118.657879376,118.657879376
5920270,5,15,12,logT,10,-1.71192,0.9,105.316700697,210.633401394
6007986,5,15,12,logT,10,-1.67094,1,103.256690788,103.256690788
6145844,5,15,15,logT,10,-1.66589,0.9,126.224577188,252.449154377
6163735,5,15,12,logT,10,-1.69796,0.9,104.153462696,208.306925392
6391497,5,15,9,logT,10,-1.73133,1,80.4746795654,80.4746795654
6397791,5,15,13,logT,10,-1.72007,0.9,111.043311906,222.086623812
6582535,5,15,11,logT,10,-1.7002,1,95.7243835926,95.7243835926
6616820,5,15,12,logT,10,-1.68809,1,104.457660174,104.457660174
6667235,5,15,13,logT,10,-1.73309,1,110.960452414,110.960452414
6774234,5,15,13,logT,10,-1.69408,1,110.940669751,110.940669751
6857733,5,15,10,logT,10,-1.70857,0.9,88.2239256382,176.447851276
6893474,5,15,12,logT,10,-1.71062,1,103.287427926,103.287427926
6998119,5,15,11,logT,10,-1.71608,1,95.8725557089,95.8725557089
7165636,5,15,15,logT,10,-1.65415,1,126.219022822,126.219022822
7276912,5,15,13,logT,10,-1.68996,0.9,111.066683531,222.133367062
7296639,5,15,13,logT,10,-1.67606,0.9,111.015513325,222.031026649
7308676,5,15,9,logT,10,-1.70904,0.9,80.5525367022,161.105073404
7388150,5,15,16,logT,10,-1.71376,0.9,133.788870049,267.577740097
7408152,5,15,12,logT,10,-1.70551,1,103.330396724,103.330396724
7429274,5,15,10,logT,10,-1.70107,1,88.3738752842,88.3738752842
7778359,5,15,11,logT,10,-1.73538,1,95.8032657623,95.8032657623
7923692,5,15,11,logT,10,-1.65815,1,95.7519306183,95.7519306183
7981098,5,15,15,logT,10,-1.73222,1,126.102522588,126.102522588
8085727,5,15,12,logT,10,-1.70976,1,103.280458045,103.280458045
8111176,5,15,14,logT,10,-1.69573,0.9,118.41813736,236.836274719
8397304,5,15,11,logT,10,-1.71318,0.9,95.8528102636,191.705620527
8421935,5,15,16,logT,10,-1.67507,1,133.921161628,133.921161628
8453239,5,15,13,logT,10,-1.68031,1,110.958449984,110.958449984
8453439,5,15,12,logT,10,-1.7135,1,103.400691056,103.400691056
8458710,5,15,15,logT,10,-1.67951,1,126.285814905,126.285814905
8598692,5,15,13,logT,10,-1.65938,0.9,110.906706285,221.813412571
8767273,5,15,17,logT,10,-1.693,1,141.508812332,141.508812332
8924713,5,15,11,logT,10,-1.66932,0.9,95.7275960922,191.455192184
8991508,5,15,9,logT,10,-1.66604,0.9,80.6269582987,161.253916597
9015879,5,15,11,logT,10,-1.71764,0.9,95.9800927401,191.96018548
9067352,5,15,14,logT,10,-1.67964,0.9,120.059237552,240.118475103
9175173,5,15,13,logT,10,-1.67111,1,110.720789647,110.720789647
