seed,MCS_per_temperature,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
110046,10,40,logT,10,-1.65216,1,21.6619713783,21.6619713783
228274,10,25,logT,10,-1.64456,0.9,13.3418563604,26.6837127209
369954,10,40,logT,10,-1.7295,0.9,21.6820127964,43.3640255928
418527,10,55,logT,10,-1.68276,1,29.9979010582,29.9979010582
492757,10,290,logT,10,-1.66257,1,160.446439648,160.446439648
554682,10,40,logT,10,-1.70255,0.9,21.6726865292,43.3453730583
624355,10,30,logT,10,-1.72807,0.9,16.1103030205,32.220606041
631654,10,60,logT,10,-1.69768,0.9,32.7870619535,65.5741239071
654105,10,80,logT,10,-1.66439,1,43.9005008698,43.9005008698
658180,10,30,logT,10,-1.72803,1,16.1143084526,16.1143084526
983552,10,25,logT,10,-1.73856,1,13.3247514725,13.3247514725
984673,10,40,logT,10,-1.70021,1,21.6526973724,21.6526973724
1010826,10,75,logT,10,-1.70137,0.9,41.1147939444,82.2295878887
1051560,10,45,logT,10,-1.63919,1,24.4267777681,24.4267777681
1086364,10,55,logT,10,-1.70278,0.9,30.0057500124,60.0115000248
1153328,10,35,logT,10,-1.68096,0.8,18.9038220167,54.0905100346
1251908,10,25,logT,10,-1.73153,1,13.3362312317,13.3362312317
1430748,10,100,logT,10,-1.69098,0.8,54.9652848244,157.275089012
1494266,10,160,logT,10,-1.71234,0.9,88.3736501455,176.747300291
1526610,10,60,logT,10,-1.69344,1,32.796356988,32.796356988
1575578,10,35,logT,10,-1.68794,0.9,18.8924622059,37.7849244118
1631660,10,25,logT,10,-1.68455,1,13.3335232019,13.3335232019
1730477,10,75,logT,10,-1.64773,0.8,41.1336365461,117.69785911
1769991,10,25,logT,10,-1.72066,1,13.3355471134,13.3355471134
1791529,10,45,logT,10,-1.70447,0.9,24.4622478724,48.9244957447
1914710,10,35,logT,10,-1.67759,0.9,18.9008824348,37.8017648697
1958910,10,50,logT,10,-1.72736,1,27.2039195776,27.2039195776
2094269,10,30,logT,10,-1.68269,0.9,16.0992751122,32.1985502243
2103206,10,45,logT,10,-1.73526,0.9,24.4480445385,48.896089077
2254005,10,25,logT,10,-1.68656,0.9,13.3350144625,26.6700289249
2261070,10,40,logT,10,-1.67718,0.9,21.67749753,43.35499506
2330819,10,35,logT,10,-1.71491,1,18.8758827925,18.8758827925
2471202,10,65,logT,10,-1.6528,0.9,35.580619669,71.1612393379
2475263,10,25,logT,10,-1.69088,1,13.3337583065,13.3337583065
2494091,10,30,logT,10,-1.69335,1,16.1215115547,16.1215115547
2575023,10,30,logT,10,-1.70921,1,16.1100455761,16.1100455761
2622727,10,25,logT,10,-1.68713,1,13.3242105961,13.3242105961
2629801,10,35,logT,10,-1.6916,0.9,18.8922271729,37.7844543457
2633193,10,170,logT,10,-1.69039,0.7,93.901791954,359.172342734
2702397,10,35,logT,10,-1.72828,1,18.8912218571,18.8912218571
2892506,10,50,logT,10,-1.71593,1,27.2411176443,27.2411176443
3139424,10,40,logT,10,-1.67747,0.9,21.6530160904,43.3060321808
3212296,10,25,logT,10,-1.72928,0.9,13.340085268,26.680170536
3240710,10,35,logT,10,-1.69005,0.9,18.8863270521,37.7726541042
3259621,10,40,logT,10,-1.69826,0.9,21.6686739683,43.3373479366
3328448,10,40,logT,10,-1.69081,1,21.6686849594,21.6686849594
3396452,10,35,logT,10,-1.70352,0.9,18.9000617504,37.8001235008
3603850,10,40,logT,10,-1.68343,0.9,21.6622887135,43.3245774269
3633003,10,55,logT,10,-1.67308,0.9,29.9806346416,59.9612692833
3713812,10,70,logT,10,-1.73963,0.9,38.3578064442,76.7156128883
3727510,10,30,logT,10,-1.69772,1,16.1192206144,16.1192206144
3730240,10,35,logT,10,-1.70893,1,18.8900764942,18.8900764942
3883519,10,40,logT,10,-1.68642,1,21.6716706991,21.6716706991
3996225,10,40,logT,10,-1.71324,0.9,21.6647073746,43.3294147491
4030608,10,55,logT,10,-1.70571,1,29.9964211702,29.9964211702
4043709,10,20,logT,10,-1.67275,0.9,10.5479724169,21.0959448338
4068529,10,40,logT,10,-1.66537,0.9,21.680223918,43.3604478359
4087272,10,25,logT,10,-1.73407,1,13.3425917149,13.3425917149
4187807,10,25,logT,10,-1.72066,1,13.3242203712,13.3242203712
4197361,10,45,logT,10,-1.68945,0.5,24.4461323023,162.416587413
4490197,10,30,logT,10,-1.7264,0.9,16.1222076893,32.2444153786
4621654,10,55,logT,10,-1.69278,1,29.9989554882,29.9989554882
4911238,10,30,logT,10,-1.73575,0.9,16.0999499083,32.1998998165
4931967,10,25,logT,10,-1.71426,1,13.3388229847,13.3388229847
4955389,10,30,logT,10,-1.6801,0.9,16.1227015018,32.2454030037
4960753,10,20,logT,10,-1.67041,0.9,10.5601238728,21.1202477455
5049071,10,35,logT,10,-1.69004,0.9,18.8765414476,37.7530828953
5105258,10,35,logT,10,-1.74864,1,18.8969002962,18.8969002962
5314052,10,30,logT,10,-1.71041,1,16.1069750309,16.1069750309
5406329,10,35,logT,10,-1.71337,0.9,18.901367116,37.8027342319
5550256,10,25,logT,10,-1.7049,1,13.3342486143,13.3342486143
5551067,10,35,logT,10,-1.67663,0.9,18.9021517754,37.8043035507
5672028,10,30,logT,10,-1.68293,0.9,16.1105574369,32.2211148739
5719349,10,100,logT,10,-1.66567,0.5,54.9870857,365.326289686
5913160,10,45,logT,10,-1.67523,0.9,24.4285716295,48.857143259
5918224,10,40,logT,10,-1.6477,1,21.6697412968,21.6697412968
5920270,10,25,logT,10,-1.71192,0.9,13.3396976471,26.6793952942
6007986,10,45,logT,10,-1.67094,1,24.4573694468,24.4573694468
6145844,10,60,logT,10,-1.66589,1,32.8016863823,32.8016863823
6163735,10,35,logT,10,-1.69796,1,18.893323946,18.893323946
6391497,10,20,logT,10,-1.73133,0.9,10.5592924356,21.1185848713
6397791,10,45,logT,10,-1.72007,0.9,24.4399534702,48.8799069405
6582535,10,30,logT,10,-1.7002,1,16.1216944456,16.1216944456
6616820,10,25,logT,10,-1.68809,0.9,13.3247062683,26.6494125366
6667235,10,45,logT,10,-1.73309,1,24.4534301281,24.4534301281
6774234,10,40,logT,10,-1.69408,1,21.670795083,21.670795083
6857733,10,30,logT,10,-1.70857,0.9,16.1207979918,32.2415959835
6893474,10,35,logT,10,-1.71062,1,18.8862775803,18.8862775803
6998119,10,25,logT,10,-1.71608,0.9,13.3231946707,26.6463893414
7165636,10,35,logT,10,-1.65415,1,18.8927669048,18.8927669048
7276912,10,25,logT,10,-1.68996,0.9,13.3424813747,26.6849627495
7296639,10,30,logT,10,-1.67606,0.9,16.1184573889,32.2369147778
7308676,10,20,logT,10,-1.70904,1,10.5602306128,10.5602306128
7388150,10,65,logT,10,-1.71376,1,35.5729618311,35.5729618311
7408152,10,40,logT,10,-1.70551,0.9,21.6757790565,43.3515581131
7429274,10,25,logT,10,-1.70107,1,13.3451290369,13.3451290369
7778359,10,25,logT,10,-1.73538,1,13.3238623619,13.3238623619
7923692,10,20,logT,10,-1.65815,0.9,10.5536526918,21.1073053837
7981098,10,45,logT,10,-1.73222,1,24.4602940798,24.4602940798
8085727,10,40,logT,10,-1.70976,1,21.6525068521,21.6525068521
8111176,10,100,logT,10,-1.69573,0.8,54.9877526522,157.339377401
8397304,10,35,logT,10,-1.71318,0.9,18.9047396183,37.8094792366
8421935,10,65,logT,10,-1.67507,0.6,35.5604587317,178.722711749
8453239,10,30,logT,10,-1.68031,0.9,16.1010263681,32.2020527363
8453439,10,70,logT,10,-1.7135,0.9,38.363198328,76.726396656
8458710,10,80,logT,10,-1.67951,0.9,43.8625638485,87.725127697
8598692,10,20,logT,10,-1.65938,0.3,10.5478600264,136.187560536
8767273,10,70,logT,10,-1.693,0.9,38.3525545359,76.7051090717
8924713,10,30,logT,10,-1.66932,1,16.1099164963,16.1099164963
8991508,10,25,logT,10,-1.66604,1,13.3360727072,13.3360727072
9015879,10,25,logT,10,-1.71764,0.9,13.3379813194,26.6759626389
9067352,10,50,logT,10,-1.67964,0.9,27.2052716017,54.4105432034
9175173,10,30,logT,10,-1.67111,1,16.1004871607,16.1004871607
9181537,10,85,logT,10,-1.66824,0.7,46.6963417292,178.612506822
9182308,10,20,logT,10,-1.69881,0.9,10.5481895685,21.096379137
9335413,10,35,logT,10,-1.69022,1,18.8926608562,18.8926608562
9469999,10,40,logT,10,-1.70814,1,21.6669044495,21.6669044495
9510406,10,35,logT,10,-1.70199,0.9,18.8988466501,37.7976933002
9516964,10,30,logT,10,-1.66673,1,16.1177108049,16.1177108049
9692062,10,65,logT,10,-1.72398,0.9,35.5669418573,71.1338837147
9721192,10,25,logT,10,-1.70144,0.9,13.3443738937,26.6887477875
9732497,10,25,logT,10,-1.72027,1,13.3357248545,13.3357248545
9807541,10,80,logT,10,-1.68575,1,43.9069968939,43.9069968939
10016117,10,35,logT,10,-1.66535,0.8,18.8762118578,54.0115076204
10289415,10,35,logT,10,-1.68948,0.9,18.9010999441,37.8021998882
10303962,10,50,logT,10,-1.69095,0.9,27.2317215681,54.4634431362
10321011,10,110,logT,10,-1.76596,1,60.6240641594,60.6240641594
10492586,10,35,logT,10,-1.68098,0.9,18.9003397226,37.8006794453
10617787,10,85,logT,10,-1.6683,0.8,46.6543417215,133.494546067
10680741,10,60,logT,10,-1.65512,0.9,32.7967964172,65.5935928345
10752963,10,30,logT,10,-1.74174,0.9,16.1194704533,32.2389409065
10759243,10,45,logT,10,-1.69761,1,24.4282334566,24.4282334566
10785990,10,40,logT,10,-1.69339,1,21.6531393528,21.6531393528
10873220,10,55,logT,10,-1.65267,0.9,30.0179985762,60.0359971523
11037872,10,30,logT,10,-1.69444,1,16.0998771667,16.0998771667
11146941,10,80,logT,10,-1.65302,0.9,43.8838979483,87.7677958965
11182766,10,50,logT,10,-1.68636,1,27.2352250576,27.2352250576
11251697,10,30,logT,10,-1.7161,1,16.1134398222,16.1134398222
11371769,10,75,logT,10,-1.69505,0.9,41.1216572285,82.2433144569
11402525,10,70,logT,10,-1.70928,0.9,38.3355974674,76.6711949348
11412292,10,50,logT,10,-1.70872,0.9,27.202254343,54.4045086861
11503114,10,30,logT,10,-1.69167,1,16.1076052666,16.1076052666
11534681,10,35,logT,10,-1.71107,1,18.8994125843,18.8994125843
11605451,10,50,logT,10,-1.68312,1,27.2275527716,27.2275527716
11679033,10,40,logT,10,-1.66707,1,21.6701799631,21.6701799631
11777311,10,60,logT,10,-1.6965,0.9,32.766861105,65.5337222099
11802495,10,50,logT,10,-1.6898,1,27.2156464338,27.2156464338
11915411,10,70,logT,10,-1.68097,0.9,38.3353263855,76.670652771
11960737,10,30,logT,10,-1.6913,0.9,16.1215953112,32.2431906223
12088959,10,50,logT,10,-1.69584,0.9,27.2386769533,54.4773539066
12238274,10,30,logT,10,-1.66623,0.9,16.0998543262,32.1997086525
12476934,10,20,logT,10,-1.71499,0.9,10.558190155,21.1163803101
12520071,10,45,logT,10,-1.68949,0.9,24.4600045204,48.9200090408
12531925,10,35,logT,10,-1.68796,1,18.8861107349,18.8861107349
12600313,10,25,logT,10,-1.70384,1,13.3418838739,13.3418838739
12876033,10,120,logT,10,-1.69459,0.9,66.067008853,132.134017706
12948253,10,55,logT,10,-1.6636,0.9,30.0001755476,60.0003510952
13046662,10,45,logT,10,-1.73876,0.9,24.4291785479,48.8583570957
13183385,10,30,logT,10,-1.66908,1,16.1123546362,16.1123546362
13232651,10,35,logT,10,-1.65347,1,18.8963028669,18.8963028669
13392517,10,30,logT,10,-1.69585,1,16.1227999926,16.1227999926
13414790,10,25,logT,10,-1.72062,1,13.3404556513,13.3404556513
13551483,10,25,logT,10,-1.67897,0.9,13.3409492016,26.6818984032
13753649,10,50,logT,10,-1.69922,0.9,27.2254753113,54.4509506226
13928994,10,25,logT,10,-1.68737,1,13.3344817877,13.3344817877
14030140,10,45,logT,10,-1.67294,0.9,24.460517931,48.921035862
14066739,10,60,logT,10,-1.67601,1,32.79803617,32.79803617
14106527,10,65,logT,10,-1.71267,1,35.5778470278,35.5778470278
14207659,10,120,logT,10,-1.6417,0.8,66.1171764374,189.18458883
14230092,10,35,logT,10,-1.68828,1,18.8770316362,18.8770316362
14265803,10,55,logT,10,-1.65969,1,29.9916692734,29.9916692734
14280208,10,30,logT,10,-1.69269,1,16.1095741987,16.1095741987
14441004,10,70,logT,10,-1.69695,1,38.3395301342,38.3395301342
14542852,10,85,logT,10,-1.69856,0.9,46.6939599276,93.3879198551
14547212,10,30,logT,10,-1.67492,1,16.1109805822,16.1109805822
14550708,10,30,logT,10,-1.68647,1,16.1223242521,16.1223242521
14772102,10,30,logT,10,-1.725,0.9,16.1103684902,32.2207369804
15011482,10,20,logT,10,-1.73888,1,10.5609577656,10.5609577656
15037000,10,65,logT,10,-1.70124,0.9,35.5809816837,71.1619633675
15345480,10,25,logT,10,-1.74859,0.9,13.3315508366,26.6631016731
15446758,10,100,logT,10,-1.70623,1,55.02135005,55.02135005
15509635,10,20,logT,10,-1.64976,0.9,10.5543478966,21.1086957932
15570002,10,30,logT,10,-1.67317,0.9,16.1095335722,32.2190671444
15709809,10,30,logT,10,-1.66647,1,16.1110668659,16.1110668659
15755754,10,25,logT,10,-1.69615,0.9,13.3317523956,26.6635047913
15763085,10,20,logT,10,-1.65829,0.9,10.5533601046,21.1067202091
15924209,10,30,logT,10,-1.71158,1,16.1216211796,16.1216211796
15981934,10,95,logT,10,-1.67195,0.5,52.192701602,346.760803599
16164239,10,20,logT,10,-1.69433,0.9,10.5537471294,21.1074942589
16173523,10,40,logT,10,-1.70529,0.9,21.683493185,43.3669863701
16248991,10,55,logT,10,-1.67747,0.9,29.9928382635,59.985676527
16319112,10,45,logT,10,-1.71467,0.9,24.4457657576,48.8915315151
16350340,10,40,logT,10,-1.70231,1,21.6805815458,21.6805815458
16516882,10,30,logT,10,-1.69499,1,16.1013255835,16.1013255835
16577430,10,25,logT,10,-1.69605,0.9,13.3327433109,26.6654866219
16600400,10,30,logT,10,-1.6835,1,16.1223845959,16.1223845959
16609733,10,35,logT,10,-1.71667,1,18.8755458593,18.8755458593
16657501,10,40,logT,10,-1.69571,0.3,21.6673188686,279.755257721
16678332,10,25,logT,10,-1.70272,1,13.3418901682,13.3418901682
16695257,10,40,logT,10,-1.70229,0.9,21.6707103252,43.3414206505
