seed,MCS_per_temperature,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
110046,10,10,logT,10,-1.65068,0,4.99742231369,inf
110046,10,15,logT,10,-1.65216,0.1,7.77359652519,339.773725785
110046,10,20,logT,10,-1.65216,0.2,10.547055769,217.666997281
110046,10,25,logT,10,-1.65216,0.6,13.3238799572,66.9642642953
110046,10,30,logT,10,-1.65216,0.8,16.1002741575,46.0685696314
110046,10,35,logT,10,-1.65216,0.8,18.8818576813,54.027662315
110046,10,40,logT,10,-1.65216,1,21.6619713783,21.6619713783
228274,10,10,logT,10,-1.64333,0,4.99825444221,inf
228274,10,15,logT,10,-1.64456,0.1,7.77843291759,339.985118165
228274,10,20,logT,10,-1.64456,0.5,10.561561203,70.1694937723
228274,10,25,logT,10,-1.64456,0.9,13.3418563604,26.6837127209
369954,10,10,logT,10,-1.72515,0,5.00047969818,inf
369954,10,15,logT,10,-1.72524,0,7.78189032078,inf
369954,10,20,logT,10,-1.7295,0.2,10.5626030684,217.987857818
369954,10,25,logT,10,-1.7295,0.3,13.3430611849,172.277499731
369954,10,30,logT,10,-1.7295,0.4,16.1232979774,145.35396756
369954,10,35,logT,10,-1.7295,0.8,18.9023518801,54.0863034546
369954,10,40,logT,10,-1.7295,0.9,21.6820127964,43.3640255928
418527,10,10,logT,10,-1.68099,0,4.99831852913,inf
418527,10,15,logT,10,-1.68276,0.1,7.77659516335,339.904792333
418527,10,20,logT,10,-1.68233,0,10.5495246649,inf
418527,10,25,logT,10,-1.68276,0.2,13.3253654718,275.004925873
418527,10,30,logT,10,-1.68276,0.2,16.1055869579,332.382309279
418527,10,35,logT,10,-1.68276,0.5,18.8921666145,125.5168381
418527,10,40,logT,10,-1.68276,0.5,21.6720220566,143.985797886
418527,10,45,logT,10,-1.68276,0.5,24.4408692837,162.381620674
418527,10,50,logT,10,-1.68276,0.8,27.2295156956,77.9132595867
418527,10,55,logT,10,-1.68276,1,29.9979010582,29.9979010582
492757,10,10,logT,30,-1.65963,0,4.99606728554,inf
492757,10,15,logT,20,-1.66001,0,7.77587589025,inf
492757,10,20,logT,19,-1.66136,0,10.5541227115,inf
492757,10,25,logT,10,-1.66257,0.1,13.3244009018,582.392117161
492757,10,30,logT,10,-1.66257,0.2,16.1015933275,332.299889923
492757,10,35,logT,10,-1.66257,0.1,18.878109479,825.13744734
492757,10,40,logT,10,-1.66257,0.2,21.6546943903,446.903136593
492757,10,45,logT,10,-1.66244,0,24.4289978266,inf
492757,10,50,logT,10,-1.66244,0,27.2043350697,inf
492757,10,55,logT,10,-1.66257,0.2,29.9806108713,618.730922445
492757,10,60,logT,10,-1.66257,0.2,32.7559320688,676.007175153
492757,10,65,logT,10,-1.66257,0.6,35.5326122761,178.582758716
492757,10,70,logT,10,-1.66257,0.5,38.3086119175,254.51690841
492757,10,75,logT,10,-1.66257,0.2,41.0855441093,847.911228862
492757,10,80,logT,10,-1.66257,0.3,43.8617607117,566.316407045
492757,10,85,logT,10,-1.66257,0.5,46.6357855797,309.841452689
492757,10,90,logT,10,-1.66257,0.3,49.4116267443,637.972905557
492757,10,95,logT,10,-1.66257,0.4,52.1926821709,470.524916288
492757,10,100,logT,10,-1.66257,0.6,54.9683485508,276.264498934
492757,10,110,logT,10,-1.66257,0.4,60.515038681,545.552217767
492757,10,120,logT,10,-1.66257,0.6,66.0644312859,332.032114621
492757,10,130,logT,10,-1.66257,0.4,71.6183136463,645.649919327
492757,10,140,logT,10,-1.66257,0.5,77.1696320295,512.703937422
492757,10,150,logT,10,-1.66257,0.4,82.7212831497,745.744867102
492757,10,160,logT,10,-1.66257,0.6,88.2742308617,443.655972951
492757,10,170,logT,10,-1.66257,0.5,93.8245001078,623.356485793
492757,10,180,logT,10,-1.66257,0.5,99.3766402006,660.244106116
492757,10,190,logT,10,-1.66257,0.4,104.925159192,945.916164716
492757,10,200,logT,10,-1.66257,0.3,110.479212284,1426.44046976
492757,10,210,logT,10,-1.66257,0.8,116.028921103,331.999714963
492757,10,220,logT,10,-1.66257,0.6,121.584046006,611.06721293
492757,10,230,logT,10,-1.66257,0.8,127.135537601,363.779666686
492757,10,240,logT,10,-1.66257,0.5,132.687037253,881.553593759
492757,10,250,logT,10,-1.66257,0.3,138.237094641,1784.83338304
492757,10,260,logT,10,-1.66257,0.6,143.78875432,722.665483172
492757,10,270,logT,10,-1.66257,0.5,149.343972158,992.21987383
492757,10,280,logT,10,-1.66257,0.5,154.894533515,1029.09700526
492757,10,290,logT,10,-1.66257,1,160.446439648,160.446439648
554682,10,10,logT,10,-1.69952,0,4.99799623489,inf
554682,10,15,logT,10,-1.70168,0,7.7771488905,inf
554682,10,20,logT,10,-1.70255,0.1,10.5563338995,461.403532849
554682,10,25,logT,10,-1.70255,0.3,13.3346725941,172.169191343
554682,10,30,logT,10,-1.70255,0.4,16.1149087429,145.278337343
554682,10,35,logT,10,-1.70255,0.7,18.8932527781,72.2662871597
554682,10,40,logT,10,-1.70255,0.9,21.6726865292,43.3453730583
624355,10,10,logT,10,-1.72195,0,4.99685814381,inf
624355,10,15,logT,10,-1.72807,0.1,7.77467713356,339.820957762
624355,10,20,logT,10,-1.72807,0.1,10.5534417629,461.277121346
624355,10,25,logT,10,-1.72807,0.6,13.3324518204,67.0073454784
624355,10,30,logT,10,-1.72807,0.9,16.1103030205,32.220606041
631654,10,10,logT,10,-1.69501,0,4.99607043266,inf
631654,10,15,logT,10,-1.69637,0,7.77381911278,inf
631654,10,20,logT,10,-1.69663,0,10.5467916965,inf
631654,10,25,logT,10,-1.69768,0.1,13.3278366089,582.542287419
631654,10,30,logT,10,-1.69768,0.2,16.1125591755,332.526199829
631654,10,35,logT,10,-1.69768,0.2,18.8979916811,390.011126704
631654,10,40,logT,10,-1.69768,0.1,21.6776722193,947.502669122
631654,10,45,logT,10,-1.69768,0.7,24.4560468912,93.5438554807
631654,10,50,logT,10,-1.69768,0.7,27.236619091,104.179484582
631654,10,55,logT,10,-1.69768,0.7,30.0111191511,114.791887878
631654,10,60,logT,10,-1.69768,0.9,32.7870619535,65.5741239071
654105,10,10,logT,10,-1.66308,0,4.99423222542,inf
654105,10,15,logT,10,-1.66243,0,7.77050666809,inf
654105,10,20,logT,10,-1.66412,0,10.546774292,inf
654105,10,25,logT,10,-1.66438,0,13.3234551191,inf
654105,10,30,logT,10,-1.66439,0.1,16.0990557194,703.668646253
654105,10,35,logT,10,-1.66439,0.3,18.8761174202,243.716960353
654105,10,40,logT,10,-1.66439,0.7,21.6516142607,82.8169607432
654105,10,45,logT,10,-1.66439,0.5,24.4287640572,162.30119529
654105,10,50,logT,10,-1.66439,0.4,27.2150515556,245.347802074
654105,10,55,logT,10,-1.66439,0.7,30.0063220739,114.773539161
654105,10,60,logT,10,-1.66439,0.7,32.7779775143,125.375061848
654105,10,65,logT,10,-1.66439,0.6,35.5574755669,178.707718711
654105,10,70,logT,10,-1.66439,0.8,38.3416611195,109.709031522
654105,10,75,logT,10,-1.66439,0.7,41.1224617004,157.292535111
654105,10,80,logT,10,-1.66439,1,43.9005008698,43.9005008698
658180,10,10,logT,10,-1.72479,0,4.99808840752,inf
658180,10,15,logT,10,-1.72664,0,7.7770865202,inf
658180,10,20,logT,10,-1.72803,0.3,10.5561196804,136.294204171
658180,10,25,logT,10,-1.72803,0.6,13.3352530003,67.0214238813
658180,10,30,logT,10,-1.72803,1,16.1143084526,16.1143084526
983552,10,10,logT,10,-1.73725,0,4.99527990818,inf
983552,10,15,logT,10,-1.73856,0.2,7.77163965702,160.388785757
983552,10,20,logT,10,-1.73856,0.6,10.547797823,53.0119997642
983552,10,25,logT,10,-1.73856,1,13.3247514725,13.3247514725
984673,10,10,logT,10,-1.69369,0,4.99398169518,inf
984673,10,15,logT,10,-1.70005,0,7.76976616383,inf
984673,10,20,logT,10,-1.70005,0,10.547171402,inf
984673,10,25,logT,10,-1.70021,0.4,13.3243239403,120.120793679
984673,10,30,logT,10,-1.70021,0.2,16.0998599291,332.264116562
984673,10,35,logT,10,-1.70021,0.6,18.8763065815,94.8701119271
984673,10,40,logT,10,-1.70021,1,21.6526973724,21.6526973724
1010826,10,10,logT,10,-1.69759,0,4.99767301083,inf
1010826,10,15,logT,10,-1.7002,0,7.77681646347,inf
1010826,10,20,logT,10,-1.70086,0,10.5558844328,inf
1010826,10,25,logT,10,-1.70069,0,13.3349437714,inf
1010826,10,30,logT,10,-1.70137,0.2,16.1154323339,332.585495218
1010826,10,35,logT,10,-1.70137,0.1,18.8934159756,825.806474265
1010826,10,40,logT,10,-1.70137,0.5,21.6714066267,143.981709058
1010826,10,45,logT,10,-1.70137,0.3,24.4482507944,315.660961251
1010826,10,50,logT,10,-1.70137,0.4,27.2259722948,245.446254188
1010826,10,55,logT,10,-1.70137,0.6,29.9995746136,150.774357741
1010826,10,60,logT,10,-1.70137,0.5,32.7625311613,217.669545449
1010826,10,65,logT,10,-1.70137,0.7,35.5312026024,135.906088833
1010826,10,70,logT,10,-1.70137,0.6,38.3248720646,192.616330248
1010826,10,75,logT,10,-1.70137,0.9,41.1147939444,82.2295878887
1051560,10,10,logT,10,-1.63481,0,5.00009551048,inf
1051560,10,15,logT,10,-1.63801,0,7.77032220364,inf
1051560,10,20,logT,10,-1.63919,0.1,10.5465599298,460.976325433
1051560,10,25,logT,10,-1.63919,0.1,13.3236309528,582.3584637
1051560,10,30,logT,10,-1.63919,0.6,16.0999609709,80.9165231946
1051560,10,35,logT,10,-1.63919,0.4,18.8760148525,170.170126135
1051560,10,40,logT,10,-1.63919,0.7,21.6514763594,82.8164332737
1051560,10,45,logT,10,-1.63919,1,24.4267777681,24.4267777681
1086364,10,10,logT,10,-1.69672,0,4.99747960567,inf
1086364,10,15,logT,10,-1.7022,0,7.77650790215,inf
1086364,10,20,logT,10,-1.7022,0,10.5564616442,inf
1086364,10,25,logT,10,-1.70278,0.2,13.3360579491,275.225594036
1086364,10,30,logT,10,-1.70278,0.3,16.1161640644,208.082119373
1086364,10,35,logT,10,-1.70278,0.3,18.8942615986,243.951226961
1086364,10,40,logT,10,-1.70278,0.6,21.6739632368,108.930807481
1086364,10,45,logT,10,-1.70278,0.5,24.4505840778,162.446164369
1086364,10,50,logT,10,-1.70278,0.8,27.2295078993,77.9132372788
1086364,10,55,logT,10,-1.70278,0.9,30.0057500124,60.0115000248
1153328,10,10,logT,10,-1.67788,0,4.99498186111,inf
1153328,10,15,logT,10,-1.68086,0,7.77741522789,inf
1153328,10,20,logT,10,-1.67973,0,10.5621557713,inf
1153328,10,25,logT,10,-1.68094,0,13.341623807,inf
1153328,10,30,logT,10,-1.68096,0.1,16.122068119,704.674488111
1153328,10,35,logT,10,-1.68096,0.8,18.9038220167,54.0905100346
1153328,10,40,logT,10,-1.68096,0.6,21.6830317974,108.976385007
1153328,10,45,logT,10,-1.68096,0.7,24.4629998207,93.5704502871
1153328,10,50,logT,10,-1.68096,0.8,27.2430270433,77.9519203237
1153328,10,55,logT,10,-1.68096,0.8,30.0228047371,85.9058458899
1153328,10,60,logT,10,-1.68096,0.9,32.8021065474,65.6042130947
1251908,10,10,logT,10,-1.72719,0,4.99683961868,inf
1251908,10,15,logT,10,-1.73144,0,7.77631883621,inf
1251908,10,20,logT,10,-1.73153,0.3,10.5556447744,136.288072474
1251908,10,25,logT,10,-1.73153,1,13.3362312317,13.3362312317
1430748,10,10,logT,22,-1.68889,0,4.99726111239,inf
1430748,10,15,logT,20,-1.68915,0,7.77590532303,inf
1430748,10,20,logT,19,-1.69017,0,10.5540533568,inf
1430748,10,25,logT,10,-1.69098,0.1,13.3238234043,582.366875502
1430748,10,30,logT,10,-1.69017,0,16.1000865459,inf
1430748,10,35,logT,10,-1.69098,0.2,18.8764243603,389.566026757
1430748,10,40,logT,10,-1.69098,0.3,21.6533730984,279.575198408
1430748,10,45,logT,10,-1.69069,0,24.4286177635,inf
1430748,10,50,logT,10,-1.69098,0.2,27.2047849894,561.444254209
1430748,10,55,logT,10,-1.69098,0.2,29.9813789845,618.746774535
1430748,10,60,logT,10,-1.69098,0.2,32.7582428932,676.054865259
1430748,10,65,logT,10,-1.69098,0.4,35.533396697,320.338940458
1430748,10,70,logT,10,-1.69098,0.3,38.309922576,494.634445936
1430748,10,75,logT,10,-1.69098,0.5,41.0847983599,272.961491889
1430748,10,80,logT,10,-1.69098,0.2,43.8608587265,905.187345767
1430748,10,85,logT,10,-1.69098,0.3,46.6372475863,602.151807382
1430748,10,90,logT,10,-1.69098,0.7,49.4127537727,189.0027247
1430748,10,95,logT,10,-1.69098,0.2,52.1879351854,1077.0390709
1430748,10,100,logT,10,-1.69098,0.8,54.9652848244,157.275089012
