seed,global_steps_per_temperature,MCS_per_global_steps,number_of_temperatures,schedule,num_runs,best_energy,success_rate,average_time,tts_p0.99
502033,5,15,4,logT,10,-1.65953,0,156.177404165,inf
502033,5,15,5,logT,10,-1.67024,0,197.216204858,inf
502033,5,15,6,logT,10,-1.67477,0,238.199343038,inf
502033,5,15,7,logT,10,-1.67422,0,279.001316977,inf
502033,5,15,8,logT,10,-1.67855,0,320.084656143,inf
502033,5,15,9,logT,10,-1.67906,0,360.952123284,inf
502033,5,15,10,logT,10,-1.68216,0,402.112044144,inf
502033,5,15,11,logT,10,-1.68239,0,442.893384409,inf
502033,5,15,12,logT,10,-1.68581,0,483.947867537,inf
502033,5,15,13,logT,10,-1.68455,0,524.949456859,inf
502033,5,15,14,logT,10,-1.68404,0,565.809703851,inf
502033,5,15,15,logT,10,-1.68554,0,606.748165178,inf
502033,5,15,16,logT,10,-1.68779,0,647.755319977,inf
502033,5,15,17,logT,10,-1.68788,0,688.819539833,inf
502033,5,15,18,logT,10,-1.68784,0,729.730391121,inf
502033,5,15,19,logT,10,-1.68834,0,770.604699564,inf
502033,5,15,20,logT,10,-1.68894,0,811.645866084,inf
502033,5,15,21,logT,10,-1.68932,0,852.553313923,inf
502033,5,15,22,logT,10,-1.69018,0,893.532082057,inf
502033,5,15,23,logT,10,-1.6903,0,934.337300777,inf
502033,5,15,24,logT,10,-1.69043,0,975.629783797,inf
502033,5,15,25,logT,10,-1.69077,0,1016.37355106,inf
502033,5,15,26,logT,10,-1.69077,0,1057.17963238,inf
502033,5,15,27,logT,10,-1.69112,0,1098.22246323,inf
502033,5,15,28,logT,10,-1.6913,0,1139.40085711,inf
502033,5,15,29,logT,10,-1.69138,0,1179.98492243,inf
502033,5,15,30,logT,10,-1.69168,0,1220.94932234,inf
502033,5,15,31,logT,10,-1.69162,0,1261.98539827,inf
502033,5,15,32,logT,10,-1.69178,0,1302.99715126,inf
502033,5,15,33,logT,10,-1.69168,0,1343.92473121,inf
502033,5,15,34,logT,10,-1.69188,0,1384.93835402,inf
502033,5,15,35,logT,10,-1.69191,0,1425.84650247,inf
502033,5,15,36,logT,10,-1.69195,0,1467.01101778,inf
502033,5,15,37,logT,10,-1.69191,0,1507.56502252,inf
502033,5,15,38,logT,10,-1.69202,0,1548.70943418,inf
502033,5,15,39,logT,10,-1.69202,0,1589.66790547,inf
502033,5,15,40,logT,10,-1.69211,0,1630.37663281,inf
502033,5,15,41,logT,10,-1.69213,0.1,1671.45184636,73056.9716949
502033,5,15,42,logT,10,-1.69212,0,1712.42480879,inf
502033,5,15,43,logT,10,-1.69211,0,1753.3081645,inf
502033,5,15,44,logT,10,-1.69213,0.2,1794.61022835,37036.6316677
502033,5,15,45,logT,10,-1.69213,0.3,1835.28346148,23696.0650678
502033,5,15,46,logT,10,-1.69213,0.5,1876.28588665,12465.7736018
502033,5,15,47,logT,10,-1.69213,0.7,1917.34379079,7333.79892795
502033,5,15,48,logT,10,-1.69213,0.8,1958.26550071,5603.28909271
502033,5,15,49,logT,10,-1.69213,1,1999.32998307,1999.32998307
3210623,5,15,4,logT,10,-1.69212,0,156.142167091,inf
3210623,5,15,5,logT,10,-1.6981,0,197.123851395,inf
3210623,5,15,6,logT,10,-1.70161,0,238.074818158,inf
3210623,5,15,7,logT,10,-1.70816,0,278.780668783,inf
3210623,5,15,8,logT,10,-1.70573,0,319.88592422,inf
3210623,5,15,9,logT,10,-1.70743,0,360.678790951,inf
3210623,5,15,10,logT,10,-1.70855,0,401.655518746,inf
3210623,5,15,11,logT,10,-1.70797,0,442.378707051,inf
3210623,5,15,12,logT,10,-1.71259,0,483.505003715,inf
3210623,5,15,13,logT,10,-1.71145,0,524.221336627,inf
3210623,5,15,14,logT,10,-1.71253,0,565.251298118,inf
3210623,5,15,15,logT,10,-1.71398,0,606.11644125,inf
3210623,5,15,16,logT,10,-1.7137,0,647.058999848,inf
3210623,5,15,17,logT,10,-1.71478,0,687.905162048,inf
3210623,5,15,18,logT,10,-1.71583,0,728.924786568,inf
3210623,5,15,19,logT,10,-1.71717,0,769.605362821,inf
3210623,5,15,20,logT,10,-1.71647,0,810.608793879,inf
3210623,5,15,21,logT,10,-1.71871,0,851.311768913,inf
3210623,5,15,22,logT,10,-1.71848,0,892.365253639,inf
3210623,5,15,23,logT,10,-1.71903,0,933.143821812,inf
3210623,5,15,24,logT,10,-1.71975,0,974.387612414,inf
3210623,5,15,25,logT,10,-1.71976,0,1014.90836694,inf
3210623,5,15,26,logT,10,-1.7203,0,1056.02956767,inf
3210623,5,15,27,logT,10,-1.72025,0,1096.72075794,inf
3210623,5,15,28,logT,10,-1.72095,0,1137.76803923,inf
3210623,5,15,29,logT,10,-1.72086,0,1178.63772862,inf
3210623,5,15,30,logT,10,-1.72122,0,1219.46500354,inf
3210623,5,15,31,logT,10,-1.72153,0,1260.60203996,inf
3210623,5,15,32,logT,10,-1.72141,0,1301.27153573,inf
3210623,5,15,33,logT,10,-1.72148,0,1342.13666031,inf
3210623,5,15,34,logT,10,-1.72161,0,1383.0343354,inf
3210623,5,15,35,logT,10,-1.72167,0,1423.99101112,inf
3210623,5,15,36,logT,10,-1.72184,0,1464.96979058,inf
3210623,5,15,37,logT,10,-1.72191,0,1505.64213784,inf
3210623,5,15,38,logT,10,-1.7219,0,1546.72749176,inf
