N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name,average_steps,parameters
1000,110046,-1.48213569,0.0003368203,0,15.5103724656,Intel Xeon Gold 6248,Greedy,333.4818,
1000,228274,-1.46821649,0.000338586,0,15.5916818899,Intel Xeon Gold 6248,Greedy,336.5369,
1000,1010826,-1.5395091,0.0003378414,0,15.5573935072,Intel Xeon Gold 6248,Greedy,335.9233,
1000,1051560,-1.48129393,0.0003372385,0,15.5296303244,Intel Xeon Gold 6248,Greedy,336.2103,
1000,1086364,-1.53306697,0.0003366188,0,15.5010935117,Intel Xeon Gold 6248,Greedy,333.3136,
1000,1153328,-1.50603802,0.0003381399,0,15.5711392529,Intel Xeon Gold 6248,Greedy,333.8564,
1000,1251908,-1.53963947,0.0003407212,0,15.6900065671,Intel Xeon Gold 6248,Greedy,337.4276,
1000,1430748,-1.52564189,0.0003397245,0,15.6441091309,Intel Xeon Gold 6248,Greedy,339.6651,
1000,1494266,-1.53093351,0.0003363546,0,15.4889272604,Intel Xeon Gold 6248,Greedy,334.6094,
1000,1526610,-1.53544376,0.0003385879,0,15.5917693837,Intel Xeon Gold 6248,Greedy,335.8986,
1000,1575578,-1.51946799,0.0003380433,0,15.5666908809,Intel Xeon Gold 6248,Greedy,336.912,
1000,1631660,-1.50549245,0.0003371985,0,15.5277883484,Intel Xeon Gold 6248,Greedy,334.7609,
1000,1730477,-1.49009792,0.0003357884,0,15.4628540906,Intel Xeon Gold 6248,Greedy,333.3913,
1000,1769991,-1.55229053,0.0003362658,0,15.4848380738,Intel Xeon Gold 6248,Greedy,333.8257,
1000,1791529,-1.52409588,0.000339437,0,15.6308699286,Intel Xeon Gold 6248,Greedy,335.6238,
1000,1914710,-1.50064347,0.0003382636,0,15.5768355635,Intel Xeon Gold 6248,Greedy,337.2607,
1000,1958910,-1.54188029,0.0003392495,0,15.6222356663,Intel Xeon Gold 6248,Greedy,334.8083,
1000,2094269,-1.50646597,0.0003404602,0,15.6779876739,Intel Xeon Gold 6248,Greedy,337.43,
1000,2103206,-1.55234566,0.0003406283,0,15.6857285779,Intel Xeon Gold 6248,Greedy,338.8681,
1000,2254005,-1.52617795,0.0003399211,0,15.6531624428,Intel Xeon Gold 6248,Greedy,337.5813,
1000,2261070,-1.50150126,0.0003376262,0,15.5474836765,Intel Xeon Gold 6248,Greedy,335.0348,
1000,2330819,-1.53673477,0.0003389454,0,15.6082320439,Intel Xeon Gold 6248,Greedy,335.6572,
1000,2471202,-1.50421197,0.0003387977,0,15.6014305477,Intel Xeon Gold 6248,Greedy,335.8119,
1000,10016117,-1.49574102,0.0003406905,0,15.6885928506,Intel Xeon Gold 6248,Greedy,335.145,
1000,10289415,-1.51063454,0.0003383704,0,15.5817536394,Intel Xeon Gold 6248,Greedy,337.5662,
1000,10303962,-1.52604441,0.0003357942,0,15.4631211771,Intel Xeon Gold 6248,Greedy,333.2108,
1000,10321011,-1.5918769,0.0003367635,0,15.5077568598,Intel Xeon Gold 6248,Greedy,337.1383,
1000,10492586,-1.5140311,0.0003375938,0,15.5459916759,Intel Xeon Gold 6248,Greedy,336.6692,
1000,10617787,-1.5047189,0.0003365711,0,15.4988969553,Intel Xeon Gold 6248,Greedy,336.0491,
1000,10680741,-1.47990162,0.0003361027,0,15.4773274167,Intel Xeon Gold 6248,Greedy,336.0404,
1000,10752963,-1.56748608,0.0003368458,0,15.5115467253,Intel Xeon Gold 6248,Greedy,335.611,
1000,10759243,-1.53405104,0.0003376849,0,15.5501867762,Intel Xeon Gold 6248,Greedy,339.1612,
1000,10785990,-1.53207751,0.0003364754,0,15.4944900278,Intel Xeon Gold 6248,Greedy,334.7894,
1000,10873220,-1.48676036,0.0003360265,0,15.4738184525,Intel Xeon Gold 6248,Greedy,334.9815,
1000,11037872,-1.52350452,0.0003383935,0,15.5828173805,Intel Xeon Gold 6248,Greedy,339.5058,
1000,11146941,-1.48913118,0.0003371382,0,15.5250115696,Intel Xeon Gold 6248,Greedy,334.8898,
1000,11182766,-1.52775064,0.0003384721,0,15.5864368633,Intel Xeon Gold 6248,Greedy,337.2985,
1000,11251697,-1.5323097,0.0003383572,0,15.5811457873,Intel Xeon Gold 6248,Greedy,333.0111,
1000,11371769,-1.53359867,0.0003366629,0,15.5031242902,Intel Xeon Gold 6248,Greedy,335.804,
1000,11402525,-1.53743638,0.0003385501,0,15.5900287164,Intel Xeon Gold 6248,Greedy,336.787,
1000,11412292,-1.54640777,0.0003377789,0,15.5545154197,Intel Xeon Gold 6248,Greedy,336.4863,
1000,11503114,-1.52457558,0.0003394632,0,15.6320764229,Intel Xeon Gold 6248,Greedy,337.0846,
1000,11534681,-1.54173401,0.0003374257,0,15.5382507719,Intel Xeon Gold 6248,Greedy,336.008,
1000,11605451,-1.50529409,0.0003385945,0,15.5920733098,Intel Xeon Gold 6248,Greedy,336.9155,
1000,11679033,-1.4996631,0.0003366842,0,15.5041051424,Intel Xeon Gold 6248,Greedy,333.3962,
1000,11777311,-1.53893255,0.0003371251,0,15.5244083225,Intel Xeon Gold 6248,Greedy,332.978,
1000,11802495,-1.53678056,0.0003383099,0,15.5789676507,Intel Xeon Gold 6248,Greedy,338.532,
1000,11915411,-1.5141329,0.0003381476,0,15.5714938332,Intel Xeon Gold 6248,Greedy,334.1953,
1000,11960737,-1.51922699,0.0003374091,0,15.5374863519,Intel Xeon Gold 6248,Greedy,335.4212,
1000,12088959,-1.51778809,0.0003390165,0,15.6115061562,Intel Xeon Gold 6248,Greedy,336.8285,
1000,12238274,-1.50016186,0.0003364127,0,15.4916027305,Intel Xeon Gold 6248,Greedy,334.2487,
1000,12476934,-1.52339214,0.0003373377,0,15.5341984248,Intel Xeon Gold 6248,Greedy,336.4551,
1000,12520071,-1.52168966,0.0003375463,0,15.5438043295,Intel Xeon Gold 6248,Greedy,335.2984,
1000,12531925,-1.51234472,0.0003369826,0,15.5178462831,Intel Xeon Gold 6248,Greedy,334.0651,
1000,12600313,-1.53867575,0.0003377461,0,15.5530049994,Intel Xeon Gold 6248,Greedy,335.5477,
1000,12876033,-1.5189391,0.0003365939,0,15.4999468816,Intel Xeon Gold 6248,Greedy,335.7223,
1000,12948253,-1.48978509,0.0003413856,0,15.720601788,Intel Xeon Gold 6248,Greedy,336.4655,
1000,13046662,-1.55708026,0.0003391349,0,15.6169584051,Intel Xeon Gold 6248,Greedy,336.4319,
1000,13183385,-1.4965105,0.0003390806,0,15.6144579227,Intel Xeon Gold 6248,Greedy,336.83,
1000,13232651,-1.48108933,0.0003382096,0,15.574348896,Intel Xeon Gold 6248,Greedy,335.9042,
1000,13392517,-1.51685905,0.0003377182,0,15.5517202212,Intel Xeon Gold 6248,Greedy,335.9708,
1000,13414790,-1.54348637,0.0003376276,0,15.5475481456,Intel Xeon Gold 6248,Greedy,333.4836,
1000,13551483,-1.50399894,0.0003371613,0,15.5260753108,Intel Xeon Gold 6248,Greedy,334.2461,
1000,13753649,-1.52394253,0.0003390613,0,15.6135691693,Intel Xeon Gold 6248,Greedy,338.4533,
