N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name,average_steps
50,1051732,-0.66678368,0.000529652357071,0.02608,0.0923066680867,Intel Xeon Gold 6248,Greedy,18.1626880642
50,1051735,-0.69177407,0.000648174724173,0.02999,0.0980317228765,Intel Xeon Gold 6248,Greedy,18.4977933801
50,1051738,-0.68109187,0.00053255225677,0.01936,0.125460757738,Intel Xeon Gold 6248,Greedy,18.2584754263
50,1051741,-0.65971072,0.000506439919759,0.00652,0.356562652884,Intel Xeon Gold 6248,Greedy,17.6055165496
50,1051744,-0.72038148,0.00062905115346,0.03801,0.0747479249767,Intel Xeon Gold 6248,Greedy,18.9209628887
50,1051747,-0.74132487,0.000499156369107,0.05226,0.0428289283228,Intel Xeon Gold 6248,Greedy,18.6279839519
50,1051750,-0.6775141,0.000594670110331,0.00933,0.292213678563,Intel Xeon Gold 6248,Greedy,17.7610832497
50,1051753,-0.64243066,0.000557041323972,0.02177,0.116573227017,Intel Xeon Gold 6248,Greedy,18.096890672
50,1051756,-0.68232807,0.000578260882648,0.02969,0.0883577901717,Intel Xeon Gold 6248,Greedy,18.3364092277
50,1051759,-0.77338429,0.00061465667001,0.11464,0.0232463333941,Intel Xeon Gold 6248,Greedy,20.3440320963
50,1051762,-0.74319947,0.000502018355065,0.0669,0.0333876072156,Intel Xeon Gold 6248,Greedy,19.1244734203
50,1051765,-0.70464689,0.000481769107322,0.02096,0.10472278994,Intel Xeon Gold 6248,Greedy,18.9485456369
50,1051768,-0.66862689,0.000498426178536,0.02257,0.10055691475,Intel Xeon Gold 6248,Greedy,18.2023069208
50,1051771,-0.76888409,0.000580576930792,0.03521,0.0745991928643,Intel Xeon Gold 6248,Greedy,19.370110331
50,1051774,-0.68299107,0.000503554964895,0.0318,0.0717680141618,Intel Xeon Gold 6248,Greedy,18.3368104313
50,1051777,-0.70669449,0.000546802006018,0.05165,0.0474785886214,Intel Xeon Gold 6248,Greedy,19.9994984955
50,1051780,-0.74360889,0.000509355165496,0.03751,0.0613499126385,Intel Xeon Gold 6248,Greedy,19.861885657
50,1051783,-0.75693509,0.000536956970913,0.04865,0.049585497929,Intel Xeon Gold 6248,Greedy,19.0449348044
50,1051786,-0.68135928,0.000598870812437,0.01113,0.246332737595,Intel Xeon Gold 6248,Greedy,18.0203610832
50,1051789,-0.67632188,0.000551890872618,0.02166,0.116036008418,Intel Xeon Gold 6248,Greedy,18.245336008
50,1051792,-0.67481349,0.000578920962889,0.03019,0.0869668679233,Intel Xeon Gold 6248,Greedy,17.9272818455
50,1051795,-0.70228247,0.0005541444333,0.04243,0.0588631288405,Intel Xeon Gold 6248,Greedy,19.0238716148
50,1051798,-0.66235707,0.000508553460381,0.00542,0.431225972456,Intel Xeon Gold 6248,Greedy,17.5416248746
50,1051801,-0.71790228,0.000480158475426,0.08275,0.0256006363197,Intel Xeon Gold 6248,Greedy,18.908224674
50,1051804,-0.7263719,0.000524291474423,0.02849,0.0835478087643,Intel Xeon Gold 6248,Greedy,18.606218656
50,1051807,-0.67750687,0.000480659879639,0.03701,0.0586933289719,Intel Xeon Gold 6248,Greedy,18.7910732197
50,1051810,-0.70251411,0.000492080842528,0.01434,0.156858456953,Intel Xeon Gold 6248,Greedy,18.2117352056
50,1051813,-0.66356966,0.000538666399198,0.00592,0.417946327561,Intel Xeon Gold 6248,Greedy,17.8552657974
50,1051816,-0.72162928,0.000545273821464,0.0318,0.0777138983211,Intel Xeon Gold 6248,Greedy,19.4517552658
50,1051819,-0.69647807,0.000631463089268,0.02728,0.105130145297,Intel Xeon Gold 6248,Greedy,18.622668004
50,1051822,-0.6960499,0.000486667703109,0.0329,0.0669970621061,Intel Xeon Gold 6248,Greedy,18.7994984955
50,1051825,-0.66074586,0.00050478335005,0.01284,0.179900767921,Intel Xeon Gold 6248,Greedy,17.8532597793
50,1051828,-0.65501966,0.00054702998997,0.01143,0.219054555478,Intel Xeon Gold 6248,Greedy,18.2683049147
50,1051831,-0.68945888,0.000483993580742,0.0672,0.0320396015137,Intel Xeon Gold 6248,Greedy,18.8115346038
50,1051834,-0.70098389,0.000511619658977,0.02387,0.0975158350214,Intel Xeon Gold 6248,Greedy,18.7715145436
50,1051837,-0.68416251,0.000578134302909,0.01916,0.137639354926,Intel Xeon Gold 6248,Greedy,18.2904714142
50,1051840,-0.69210408,0.000581912838516,0.04453,0.0588248833284,Intel Xeon Gold 6248,Greedy,18.4970912738
50,1051843,-0.6868825,0.000593922868606,0.02197,0.123143842682,Intel Xeon Gold 6248,Greedy,18.5506519559
50,1051846,-0.68337167,0.000581008124373,0.0342,0.0768835802428,Intel Xeon Gold 6248,Greedy,18.423671013
50,1051849,-0.6813367,0.000528956068205,0.01836,0.131490017159,Intel Xeon Gold 6248,Greedy,19.0360080241
50,1051852,-0.69819431,0.000615621464393,0.01936,0.14503052878,Intel Xeon Gold 6248,Greedy,18.1200601805
50,1051855,-0.68380991,0.000593826579739,0.00431,0.632694107441,Intel Xeon Gold 6248,Greedy,18.2563691073
50,1051858,-0.67745487,0.000529184754263,0.01123,0.215714471343,Intel Xeon Gold 6248,Greedy,17.9078234704
50,1051861,-0.6888083,0.000514936108325,0.01284,0.183519130155,Intel Xeon Gold 6248,Greedy,18.2754262788
