# model=rrg N=50 meanJ=0 seed=789314108 distribution=gaussian field=0 num_fields=50 num_couplings=75 graph=random_regular degree=3 graph_seed=789314108
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 28 -0.76319
0 29 0.99707
0 48 0.10624
1 24 0.39444
1 29 -1.41772
1 44 -1.38994
2 15 -0.50899
2 17 0.42067
2 45 0.29115
3 8 -0.33578
3 25 0.19403
3 46 0.251
4 23 -1.44553
4 35 2.11428
4 37 -0.72794
5 7 1.82524
5 15 0.15416
5 27 1.2113
6 25 -0.06788
6 32 -0.7748
6 35 2.13203
7 34 0.85597
7 47 1.26694
8 16 -0.24234
8 43 -0.41441
9 18 -0.59295
9 36 0.85777
9 47 -1.29111
10 23 -0.92361
10 26 -0.57593
10 39 -0.11865
11 20 -1.79043
11 27 -0.80008
11 36 0.39791
12 34 0.52693
12 38 0.77002
12 48 -0.23969
13 19 -1.38176
13 21 -0.9566
13 40 0.23245
14 21 -0.24097
14 24 0.42624
14 26 2.07054
15 41 -0.73689
16 26 -0.16885
16 42 0.29224
17 38 2.07543
17 45 -2.94498
18 28 -0.21555
18 43 -0.49158
19 23 -0.63414
19 30 0.14078
20 37 -1.09749
20 46 1.47753
21 42 0.86074
22 30 0.27685
22 31 -1.9928
22 38 -1.0639
24 25 0.0161
27 49 -0.81897
28 31 -0.19419
29 39 -0.43968
30 45 -0.17689
31 32 -1.68422
32 39 1.75175
33 36 0.00258
33 37 -0.06525
33 42 1.01313
34 41 1.37875
35 46 1.13595
40 43 0.12597
40 44 -0.73763
41 48 0.44179
44 49 0.912
47 49 -0.37649
