# model=sk N=50 meanJ=0 seed=1051739 distribution=gaussian field=0 num_fields=50 num_couplings=1225
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
0 1 0.043
0 2 0.078
0 3 -0.25155
0 4 -0.08019
0 5 0.06356
0 6 -0.07712
0 7 -0.20067
0 8 0.17358
0 9 -0.16336
0 10 0.19625
0 11 -0.09259
0 12 -0.00023
0 13 -0.12256
0 14 0.15801
0 15 -0.09055
0 16 -0.1242
0 17 -0.24357
0 18 0.02992
0 19 -0.02329
0 20 -0.35215
0 21 0.0588
0 22 0.05476
0 23 -0.05784
0 24 0.04953
0 25 0.03727
0 26 0.1008
0 27 0.00947
0 28 0.00307
0 29 -0.09517
0 30 -0.12285
0 31 -0.02089
0 32 -0.15159
0 33 0.10379
0 34 -0.05337
0 35 0.0093
0 36 0.09451
0 37 -0.04903
0 38 0.00384
0 39 -0.12247
0 40 -0.05359
0 41 -0.02264
0 42 0.38295
0 43 0.02052
0 44 -0.00325
0 45 -0.0736
0 46 -0.01867
0 47 -0.13248
0 48 -0.04938
0 49 -0.24339
1 2 0.13845
1 3 0.02584
1 4 -0.0622
1 5 0.02977
1 6 0.09979
1 7 0.15447
1 8 0.26031
1 9 -0.09326
1 10 -0.14492
1 11 -0.22632
1 12 -0.1498
1 13 0.07041
1 14 -0.10175
1 15 -0.15609
1 16 0.29151
1 17 0.08934
1 18 -0.32337
1 19 -0.1336
1 20 -0.14423
1 21 -0.20927
1 22 -0.09875
1 23 0.04757
1 24 0.09555
1 25 -0.0381
1 26 -0.10489
1 27 0.12434
1 28 0.14612
1 29 0.0831
1 30 -0.11407
1 31 0.16367
1 32 -0.15171
1 33 -0.02253
1 34 -0.02086
1 35 -0.09098
1 36 -0.08322
1 37 0.14545
1 38 0.12855
1 39 0.0887
1 40 -0.00407
1 41 -0.06221
1 42 -0.02533
1 43 0.19896
1 44 -0.01006
1 45 -0.07566
1 46 -0.04046
1 47 0.05285
1 48 -0.02491
1 49 0.04364
2 3 0.29812
2 4 0.10559
2 5 -0.08395
2 6 -0.12955
2 7 0.08352
2 8 -0.13536
2 9 -0.17824
2 10 -0.11182
2 11 -0.15686
2 12 -0.10311
2 13 -0.0083
2 14 -0.01242
2 15 0.10911
2 16 0.01229
2 17 -0.25048
2 18 -0.29236
2 19 0.1476
2 20 -0.00523
2 21 0.06777
2 22 0.0359
2 23 -0.12484
2 24 -0.04735
2 25 0.02112
2 26 -0.03541
2 27 -0.24541
2 28 -0.15928
2 29 -0.00196
2 30 -0.28018
2 31 0.05515
2 32 0.09504
2 33 0.07271
2 34 0.00689
2 35 0.12105
2 36 0.02475
2 37 -0.06148
2 38 0.08633
2 39 -0.30705
2 40 -0.04919
2 41 0.0092
2 42 0.06157
2 43 0.1031
2 44 0.17068
2 45 0.06242
2 46 0.10399
2 47 -0.18471
2 48 -0.10188
2 49 0.05779
3 4 0.1906
3 5 0.03919
3 6 0.02906
3 7 0.05669
3 8 -0.17096
3 9 0.0239
3 10 -0.02593
3 11 0.126
