# model=xorsat K=13.0 seed=123456
0 1
1 3
2 1
3 3
4 3
5 1
6 1
7 1
8 1
9 1
10 1
11 -3
12 1
13 -2
14 -2
15 2
16 -2
17 2
18 2
19 2
20 2
21 2
22 2
23 2
24 2
25 -2
0 1 -1
0 2 -1
0 6 -1
0 7 -1
0 9 -1
0 12 -1
0 16 -2
0 19 -2
0 24 -2
1 3 -1
1 4 -1
1 6 -1
1 7 -1
1 9 -1
1 18 -2
1 21 -2
1 24 -2
2 5 -1
2 7 -1
2 8 -1
2 9 -1
2 11 -1
2 19 -2
2 23 -2
2 25 -2
3 5 -1
3 6 -1
3 7 -1
3 10 -1
3 12 -1
3 15 -2
3 18 -2
3 20 -2
4 5 -1
4 8 -1
4 9 -1
4 10 -1
4 12 -1
4 17 -2
4 21 -2
4 22 -2
5 6 -1
5 10 -1
5 11 -1
5 17 -2
5 20 -2
5 25 -2
6 9 -1
6 11 -1
6 13 -2
6 20 -2
6 24 -2
7 8 -1
7 12 -1
7 16 -2
7 18 -2
7 23 -2
8 10 -1
8 11 -1
8 12 -1
8 14 -2
8 22 -2
8 23 -2
9 11 -1
9 13 -2
9 19 -2
9 21 -2
10 11 -1
10 12 -1
10 14 -2
10 15 -2
10 17 -2
11 13 -2
11 14 -2
11 25 -2
12 15 -2
12 16 -2
12 22 -2
