# model=xorsat K=9.0 seed=123456
0 1
1 1
2 -1
3 3
4 -3
5 -1
6 -3
7 -1
8 1
9 2
10 -2
11 -2
12 2
13 2
14 2
15 -2
16 -2
17 -2
0 1 -1
0 2 -1
0 3 -1
0 4 -1
0 7 -1
0 8 -1
0 12 -2
0 13 -2
0 17 -2
1 3 -1
1 4 -1
1 5 -1
1 6 -1
1 8 -1
1 9 -2
1 13 -2
1 16 -2
2 3 -1
2 4 -1
2 6 -1
2 7 -1
2 8 -1
2 14 -2
2 15 -2
2 17 -2
3 5 -1
3 7 -1
3 8 -1
3 9 -2
3 12 -2
3 14 -2
4 5 -1
4 6 -1
4 7 -1
4 11 -2
4 16 -2
4 17 -2
5 6 -1
5 7 -1
5 8 -1
5 9 -2
5 10 -2
5 11 -2
6 7 -1
6 8 -1
6 10 -2
6 15 -2
6 16 -2
7 11 -2
7 12 -2
7 15 -2
8 10 -2
8 13 -2
8 14 -2
